#time MDC0  MDC1   DC2    DC3    0-2    1-3    1-2    2-3
65   0.550  0.280  0.048  0.104  0.523  0.000  0.257  0.052  # 235 jobs, 2.350 load
66   0.460  0.240  0.067  0.106  0.503  0.000  0.320  0.050  # 243 jobs, 2.430 load
67   0.400  0.260  0.078  0.105  0.473  0.000  0.380  0.047  # 249 jobs, 2.490 load
68   0.510  0.290  0.068  0.105  0.523  0.000  0.327  0.052  # 253 jobs, 2.530 load
69   0.680  0.360  0.064  0.131  0.667  0.000  0.330  0.067  # 299 jobs, 2.990 load
70   0.760  0.310  0.073  0.127  0.650  0.000  0.347  0.065  # 307 jobs, 3.070 load
71   0.620  0.290  0.069  0.107  0.573  0.000  0.320  0.057  # 267 jobs, 2.670 load
72   0.530  0.270  0.066  0.118  0.640  0.000  0.307  0.064  # 264 jobs, 2.640 load
73   0.590  0.280  0.061  0.106  0.560  0.000  0.283  0.056  # 254 jobs, 2.540 load
74   0.680  0.280  0.061  0.093  0.517  0.000  0.280  0.052  # 250 jobs, 2.500 load
75   0.400  0.300  0.049  0.077  0.390  0.000  0.263  0.039  # 196 jobs, 1.960 load
76   0.500  0.360  0.058  0.086  0.437  0.000  0.310  0.044  # 230 jobs, 2.300 load
77   0.370  0.310  0.065  0.102  0.420  0.000  0.320  0.042  # 235 jobs, 2.350 load
78   0.330  0.340  0.066  0.098  0.430  0.000  0.333  0.043  # 231 jobs, 2.310 load
79   0.300  0.360  0.079  0.092  0.400  0.000  0.367  0.040  # 237 jobs, 2.370 load
80   0.410  0.360  0.095  0.097  0.497  0.000  0.440  0.050  # 269 jobs, 2.690 load
81   0.290  0.370  0.083  0.107  0.413  0.000  0.403  0.041  # 256 jobs, 2.560 load
82   0.370  0.280  0.076  0.080  0.387  0.000  0.360  0.039  # 221 jobs, 2.210 load
83   0.520  0.260  0.064  0.077  0.417  0.000  0.300  0.042  # 219 jobs, 2.190 load
84   0.530  0.330  0.070  0.098  0.510  0.000  0.340  0.051  # 254 jobs, 2.540 load
85   0.550  0.330  0.068  0.078  0.437  0.000  0.333  0.044  # 234 jobs, 2.340 load
86   0.620  0.390  0.064  0.097  0.523  0.000  0.340  0.052  # 262 jobs, 2.620 load
87   0.530  0.490  0.069  0.080  0.470  0.000  0.387  0.047  # 251 jobs, 2.510 load
88   0.480  0.430  0.056  0.084  0.430  0.000  0.310  0.043  # 231 jobs, 2.310 load
89   0.490  0.380  0.053  0.070  0.383  0.000  0.290  0.038  # 210 jobs, 2.100 load
90   0.470  0.330  0.068  0.071  0.360  0.000  0.370  0.036  # 219 jobs, 2.190 load
91   0.370  0.330  0.054  0.060  0.317  0.000  0.290  0.032  # 184 jobs, 1.840 load
