selected,total,duration,solving_time,instant,1,2,3,"(1, 3)","(2, 3)","(3, 1)","(3, 2)","(4, 3)"
0.0,0.0,0.0,0.0,59.0,0.66,0.69,0.225,0.38,0.185,0.11,0.23,0.06
0.0,0.0,0.0,0.0,60.0,0.66,0.69,0.231,0.39,0.19,0.11,0.23,0.061
0.0,0.0,0.0,0.0,61.0,0.66,0.69,0.237,0.4,0.195,0.11,0.23,0.062
0.0,0.0,0.0,0.0,62.0,0.66,0.69,0.243,0.41,0.2,0.11,0.23,0.063
0.0,0.0,0.0,0.0,63.0,0.66,0.69,0.249,0.42,0.205,0.11,0.23,0.064
0.0,0.0,0.0,0.0,64.0,0.66,0.69,0.255,0.43,0.21,0.11,0.23,0.065
0.0,0.0,0.0,0.0,65.0,0.66,0.66,0.264,0.44,0.22,0.11,0.22,0.066
0.0,0.0,0.0,0.0,66.0,0.66,0.66,0.27,0.45,0.225,0.11,0.22,0.067
0.0,0.0,0.0,0.0,67.0,0.66,0.66,0.276,0.46,0.23,0.11,0.22,0.068
0.0,0.0,0.0,0.0,68.0,0.66,0.66,0.282,0.47,0.235,0.11,0.22,0.069
0.0,0.0,0.0,0.0,69.0,0.66,0.66,0.288,0.48,0.24,0.11,0.22,0.07
0.0,0.0,0.0,0.0,70.0,0.66,0.66,0.294,0.49,0.245,0.11,0.22,0.071
0.0,0.0,0.0,0.0,71.0,0.66,0.66,0.3,0.5,0.25,0.11,0.22,0.072
0.0,0.0,0.0,0.0,72.0,0.63,0.66,0.309,0.52,0.255,0.105,0.22,0.073
0.0,0.0,0.0,0.0,73.0,0.63,0.66,0.315,0.53,0.26,0.105,0.22,0.074
0.0,0.0,0.0,0.0,74.0,0.63,0.66,0.321,0.54,0.265,0.105,0.22,0.075
0.0,0.0,0.0,0.0,75.0,0.63,0.66,0.327,0.55,0.27,0.105,0.22,0.076
0.0,0.0,0.0,0.0,76.0,0.63,0.66,0.333,0.56,0.275,0.105,0.22,0.077
0.0,0.0,0.0,0.0,77.0,0.63,0.66,0.339,0.57,0.28,0.105,0.22,0.078
0.0,0.0,0.0,0.0,78.0,0.63,0.66,0.345,0.58,0.285,0.105,0.22,0.079
0.0,0.0,0.0,0.0,79.0,0.63,0.66,0.351,0.59,0.29,0.105,0.22,0.08
0.0,0.0,0.0,0.0,80.0,0.63,0.63,0.36,0.6,0.3,0.105,0.21,0.081
0.0,0.0,0.0,0.0,81.0,0.63,0.63,0.366,0.61,0.305,0.105,0.21,0.082
0.0,0.0,0.0,0.0,82.0,0.6,0.63,0.375,0.63,0.31,0.1,0.21,0.083
0.0,0.0,0.0,0.0,83.0,0.6,0.63,0.381,0.64,0.315,0.1,0.21,0.084
0.0,0.0,0.0,0.0,84.0,0.6,0.63,0.387,0.65,0.32,0.1,0.21,0.085
0.0,0.0,0.0,0.0,85.0,0.6,0.63,0.393,0.66,0.325,0.1,0.21,0.086
0.0,0.0,0.0,0.0,86.0,0.6,0.63,0.399,0.67,0.33,0.1,0.21,0.087
0.0,0.0,0.0,0.0,87.0,0.6,0.63,0.405,0.68,0.335,0.1,0.21,0.088
0.0,0.0,0.0,0.0,88.0,0.6,0.63,0.411,0.69,0.34,0.1,0.21,0.089
0.0,0.0,0.0,0.0,89.0,0.6,0.63,0.417,0.7,0.345,0.1,0.21,0.09
0.0,0.0,0.0,0.0,90.0,0.6,0.63,0.423,0.71,0.35,0.1,0.21,0.091
0.0,0.0,0.0,0.0,91.0,0.6,0.63,0.429,0.72,0.355,0.1,0.21,0.092
0.0,0.0,0.0,0.0,92.0,0.57,0.63,0.438,0.74,0.36,0.095,0.21,0.093
0.0,0.0,0.0,0.0,93.0,0.57,0.6,0.447,0.75,0.37,0.095,0.2,0.094
0.0,0.0,0.0,0.0,94.0,0.57,0.6,0.453,0.76,0.375,0.095,0.2,0.095
0.0,0.0,0.0,0.0,95.0,0.57,0.6,0.459,0.77,0.38,0.095,0.2,0.096
0.0,0.0,0.0,0.0,96.0,0.57,0.6,0.465,0.78,0.385,0.095,0.2,0.097
0.0,0.0,0.0,0.0,97.0,0.57,0.6,0.471,0.79,0.39,0.095,0.2,0.098
0.0,0.0,0.0,0.0,98.0,0.54,0.6,0.48,0.81,0.395,0.09,0.2,0.099
0.0,0.0,0.0,0.0,99.0,0.54,0.6,0.486,0.82,0.4,0.09,0.2,0.1
0.0,0.0,0.0,0.0,100.0,0.54,0.6,0.492,0.83,0.405,0.09,0.2,0.101
0.0,0.0,0.0,0.0,101.0,0.36,0.57,0.513,0.89,0.41,0.06,0.19,0.101
0.0,0.0,0.0,0.0,102.0,0.24,0.57,0.525,0.93,0.41,0.04,0.19,0.101
0.0,0.0,0.0,0.0,103.0,0.12,0.57,0.531,0.96,0.405,0.02,0.19,0.1
0.0,0.0,0.0,0.0,104.0,0.0,0.57,0.537,0.99,0.4,0.0,0.19,0.099
0.0,0.0,0.0,0.0,105.0,0.0,0.57,0.531,0.98,0.395,0.0,0.19,0.098
0.0,0.0,0.0,0.0,106.0,0.0,0.57,0.525,0.97,0.39,0.0,0.19,0.097
0.0,0.0,0.0,0.0,107.0,0.0,0.57,0.519,0.96,0.385,0.0,0.19,0.096
0.0,0.0,0.0,0.0,108.0,0.0,0.57,0.513,0.95,0.38,0.0,0.19,0.095
