selected,total,duration,solving_time,instant,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,"(1, 9)","(2, 10)","(3, 11)","(9, 1)","(10, 2)","(11, 3)","(12, 4)","(13, 5)","(15, 7)","(16, 8)","(10, 9)","(9, 10)","(11, 10)","(10, 11)","(12, 11)","(11, 12)","(13, 12)","(12, 13)","(14, 13)","(13, 14)","(15, 14)","(14, 15)","(16, 15)","(15, 16)","(9, 16)","(16, 9)","(10, 17)","(17, 10)","(12, 17)","(17, 12)","(14, 17)","(17, 14)","(16, 17)","(17, 16)","(10, 18)","(18, 10)","(12, 18)","(18, 12)","(14, 18)","(18, 14)","(16, 18)","(18, 16)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
0.0,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.3,0.7,0.9,0.86,0.84,0.54,0.3,0.74,0.86,0.88,0.0,0.06,"0.672","0.0","0.0","0.09","0.0","0.0","0.0","0.0","0.036","0.084","0.04","0.235","0.04","0.052","0.03","0.015","0.0","0.0","0.015","0.075","0.072","0.135","0.138","0.15","0.206","0.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0054","0.0","0.0","0.0414","0.0"
0.0,0.0,0.0,0.0,11.0,0.9,0.0,0.0,0.0,0.0,0.3,0.7,0.9,0.86,0.84,0.54,0.3,0.74,0.86,0.88,0.0,0.06,"0.672","0.0","0.0","0.09","0.0","0.0","0.0","0.0","0.036","0.084","0.04","0.235","0.04","0.052","0.03","0.015","0.0","0.0","0.015","0.075","0.072","0.135","0.138","0.15","0.206","0.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0054","0.0","0.0","0.0414","0.0"
0.0,0.0,0.0,0.0,21.0,0.9,0.0,0.0,0.0,0.0,0.3,0.7,0.9,0.86,0.84,0.54,0.3,0.74,0.86,0.88,0.0,0.06,"0.672","0.0","0.0","0.09","0.0","0.0","0.0","0.0","0.036","0.084","0.04","0.235","0.04","0.052","0.03","0.015","0.0","0.0","0.015","0.075","0.072","0.135","0.138","0.15","0.206","0.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0054","0.0","0.0","0.0414","0.0"
0.0,0.0,0.0,0.0,31.0,0.9,0.0,0.0,0.0,0.0,0.3,0.7,0.9,0.86,0.84,0.54,0.3,0.74,0.86,0.88,0.0,0.06,"0.672","0.0","0.0","0.09","0.0","0.0","0.0","0.0","0.036","0.084","0.04","0.235","0.04","0.052","0.03","0.015","0.0","0.0","0.015","0.075","0.072","0.135","0.138","0.15","0.206","0.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0054","0.0","0.0","0.0414","0.0"
0.0,0.0,0.0,0.0,41.0,0.9,0.0,0.0,0.0,0.0,0.3,0.7,0.9,0.86,0.84,0.54,0.3,0.74,0.86,0.88,0.0,0.06,"0.672","0.0","0.0","0.09","0.0","0.0","0.0","0.0","0.036","0.084","0.04","0.235","0.04","0.052","0.03","0.015","0.0","0.0","0.015","0.075","0.072","0.135","0.138","0.15","0.206","0.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0054","0.0","0.0","0.0414","0.0"
0.0,0.0,0.0,0.0,51.0,0.9,0.8,0.0,0.0,0.0,0.7,0.0,0.9,0.88,0.86,0.76,0.76,0.76,0.88,0.86,0.0,0.666,"0.686","0.674","0.0","0.104","0.08","0.0","0.0","0.0","0.084","0.0","0.142","0.105","0.06","0.114","0.11","0.356","0.075","0.028","0.01","0.11","0.016","0.075","0.112","0.24","0.663","0.155","0.0074","0.0","0.0","0.0","0.0","0.0074","0.0","0.0","0.041","0.0","0.088","0.0","0.06","0.0","0.2106","0.0"
0.0,0.0,0.0,0.0,61.0,0.9,0.8,0.0,0.0,0.0,0.7,0.0,0.9,0.88,0.86,0.76,0.76,0.76,0.88,0.86,0.0,0.666,"0.686","0.674","0.0","0.104","0.08","0.0","0.0","0.0","0.084","0.0","0.142","0.105","0.06","0.114","0.11","0.356","0.075","0.028","0.01","0.11","0.016","0.075","0.112","0.24","0.663","0.155","0.0074","0.0","0.0","0.0","0.0","0.0074","0.0","0.0","0.041","0.0","0.088","0.0","0.06","0.0","0.2106","0.0"
0.0,0.0,0.0,0.0,71.0,0.9,0.8,0.0,0.0,0.0,0.7,0.0,0.9,0.88,0.86,0.76,0.76,0.76,0.88,0.86,0.0,0.666,"0.686","0.674","0.0","0.104","0.08","0.0","0.0","0.0","0.084","0.0","0.142","0.105","0.06","0.114","0.11","0.356","0.075","0.028","0.01","0.11","0.016","0.075","0.112","0.24","0.663","0.155","0.0074","0.0","0.0","0.0","0.0","0.0074","0.0","0.0","0.041","0.0","0.088","0.0","0.06","0.0","0.2106","0.0"
0.0,0.0,0.0,0.0,81.0,0.9,0.8,0.0,0.0,0.0,0.7,0.0,0.9,0.88,0.86,0.76,0.76,0.76,0.88,0.86,0.0,0.666,"0.686","0.674","0.0","0.104","0.08","0.0","0.0","0.0","0.084","0.0","0.142","0.105","0.06","0.114","0.11","0.356","0.075","0.028","0.01","0.11","0.016","0.075","0.112","0.24","0.663","0.155","0.0074","0.0","0.0","0.0","0.0","0.0074","0.0","0.0","0.041","0.0","0.088","0.0","0.06","0.0","0.2106","0.0"
