selected,total,duration,solving_time,instant,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,"(1, 9)","(2, 10)","(3, 11)","(9, 1)","(10, 2)","(11, 3)","(12, 4)","(13, 5)","(15, 7)","(16, 8)","(10, 9)","(9, 10)","(11, 10)","(10, 11)","(12, 11)","(11, 12)","(13, 12)","(12, 13)","(14, 13)","(13, 14)","(15, 14)","(14, 15)","(16, 15)","(15, 16)","(9, 16)","(16, 9)","(10, 17)","(17, 10)","(12, 17)","(17, 12)","(14, 17)","(17, 14)","(16, 17)","(17, 16)","(10, 18)","(18, 10)","(12, 18)","(18, 12)","(14, 18)","(18, 14)","(16, 18)","(18, 16)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.8,0.7,0.6,0.0,0.0,0.7,0.7,0.86,0.82,0.82,0.72,0.0,0.74,0.82,0.84,0.0,0.058,0.674,0.0,0.0,0.08,0.084,0.072,0.0,0.0,0.084,0.084,0.035,0.312,0.02,0.047,0.075,0.045,0.095,0.0,0.0,0.055,0.01,0.04,0.153,0.12,0.122,0.21,0.0,0.0325,0.0175,0.0,0.0325,0.0,0.0,0.0175,0.051,0.0,0.0,0.018,0.0,0.0185,0.0725,0.0
0.0,0.0,0.0,0.0,11.0,0.8,0.7,0.6,0.0,0.0,0.7,0.7,0.86,0.82,0.82,0.72,0.0,0.74,0.82,0.84,0.0,0.058,0.674,0.0,0.0,0.08,0.084,0.072,0.0,0.0,0.084,0.084,0.035,0.312,0.02,0.047,0.075,0.045,0.095,0.0,0.0,0.055,0.01,0.04,0.153,0.12,0.122,0.21,0.0,0.0325,0.0175,0.0,0.0325,0.0,0.0,0.0175,0.051,0.0,0.0,0.018,0.0,0.0185,0.0725,0.0
0.0,0.0,0.0,0.0,21.0,0.8,0.7,0.6,0.0,0.0,0.7,0.7,0.86,0.82,0.82,0.72,0.0,0.74,0.82,0.84,0.0,0.058,0.674,0.0,0.0,0.08,0.084,0.072,0.0,0.0,0.084,0.084,0.035,0.312,0.02,0.047,0.075,0.045,0.095,0.0,0.0,0.055,0.01,0.04,0.153,0.12,0.122,0.21,0.0,0.0325,0.0175,0.0,0.0325,0.0,0.0,0.0175,0.051,0.0,0.0,0.018,0.0,0.0185,0.0725,0.0
0.0,0.0,0.0,0.0,31.0,0.8,0.7,0.6,0.0,0.0,0.7,0.7,0.86,0.82,0.82,0.72,0.0,0.74,0.82,0.84,0.0,0.058,0.674,0.0,0.0,0.08,0.084,0.072,0.0,0.0,0.084,0.084,0.035,0.312,0.02,0.047,0.075,0.045,0.095,0.0,0.0,0.055,0.01,0.04,0.153,0.12,0.122,0.21,0.0,0.0325,0.0175,0.0,0.0325,0.0,0.0,0.0175,0.051,0.0,0.0,0.018,0.0,0.0185,0.0725,0.0
0.0,0.0,0.0,0.0,41.0,0.8,0.7,0.6,0.0,0.0,0.7,0.7,0.86,0.82,0.82,0.72,0.0,0.74,0.82,0.84,0.0,0.058,0.674,0.0,0.0,0.08,0.084,0.072,0.0,0.0,0.084,0.084,0.035,0.312,0.02,0.047,0.075,0.045,0.095,0.0,0.0,0.055,0.01,0.04,0.153,0.12,0.122,0.21,0.0,0.0325,0.0175,0.0,0.0325,0.0,0.0,0.0175,0.051,0.0,0.0,0.018,0.0,0.0185,0.0725,0.0
0.0,0.0,0.0,0.0,51.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.86,0.82,0.82,0.74,0.66,0.74,0.82,0.82,0.0,0.72,0.688,0.674,0.0,0.094,0.08,0.0,0.0,0.0,0.0,0.0,0.083,0.365,0.035,0.096,0.0,0.265,0.18,0.0,0.033,0.03,0.205,0.035,0.041,0.0,0.287,0.08,0.0785,0.0175,0.0175,0.0185,0.0,0.0275,0.0,0.0325,0.2625,0.0375,0.3,0.0,0.2325,0.0075,0.33,0.0
0.0,0.0,0.0,0.0,61.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.86,0.82,0.82,0.74,0.66,0.74,0.82,0.82,0.0,0.72,0.688,0.674,0.0,0.094,0.08,0.0,0.0,0.0,0.0,0.0,0.083,0.365,0.035,0.096,0.0,0.265,0.18,0.0,0.033,0.03,0.205,0.035,0.041,0.0,0.287,0.08,0.0785,0.0175,0.0175,0.0185,0.0,0.0275,0.0,0.0325,0.2625,0.0375,0.3,0.0,0.2325,0.0075,0.33,0.0
0.0,0.0,0.0,0.0,71.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.86,0.82,0.82,0.74,0.66,0.74,0.82,0.82,0.0,0.72,0.688,0.674,0.0,0.094,0.08,0.0,0.0,0.0,0.0,0.0,0.083,0.365,0.035,0.096,0.0,0.265,0.18,0.0,0.033,0.03,0.205,0.035,0.041,0.0,0.287,0.08,0.0785,0.0175,0.0175,0.0185,0.0,0.0275,0.0,0.0325,0.2625,0.0375,0.3,0.0,0.2325,0.0075,0.33,0.0
0.0,0.0,0.0,0.0,81.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.86,0.82,0.82,0.74,0.66,0.74,0.82,0.82,0.0,0.72,0.688,0.674,0.0,0.094,0.08,0.0,0.0,0.0,0.0,0.0,0.083,0.365,0.035,0.096,0.0,0.265,0.18,0.0,0.033,0.03,0.205,0.035,0.041,0.0,0.287,0.08,0.0785,0.0175,0.0175,0.0185,0.0,0.0275,0.0,0.0325,0.2625,0.0375,0.3,0.0,0.2325,0.0075,0.33,0.0
0.0,0.0,0.0,0.0,91.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.86,0.82,0.82,0.74,0.66,0.74,0.82,0.82,0.0,0.72,0.688,0.674,0.0,0.094,0.08,0.0,0.0,0.0,0.0,0.0,0.083,0.365,0.035,0.096,0.0,0.265,0.18,0.0,0.033,0.03,0.205,0.035,0.041,0.0,0.287,0.08,0.0785,0.0175,0.0175,0.0185,0.0,0.0275,0.0,0.0325,0.2625,0.0375,0.3,0.0,0.2325,0.0075,0.33,0.0
0.0,0.0,0.0,0.0,101.0,0.8,0.8,0.8,0.7,0.0,0.7,0.7,0.86,0.84,0.84,0.84,0.76,0.74,0.84,0.84,0.748,0.576,0.674,0.688,0.674,0.08,0.094,0.08,0.084,0.0,0.084,0.084,0.131,0.311,0.658,0.06,0.115,0.087,0.575,0.038,0.09,0.0,0.65,0.0,0.049,0.08,0.449,0.065,0.4095,0.055,0.2575,0.0,0.26,0.0,0.2625,0.0125,0.3495,0.03,0.15,0.0375,0.19,0.0185,0.2975,0.037
0.0,0.0,0.0,0.0,111.0,0.8,0.8,0.8,0.7,0.0,0.7,0.7,0.86,0.84,0.84,0.84,0.76,0.74,0.84,0.84,0.748,0.576,0.674,0.688,0.674,0.08,0.094,0.08,0.084,0.0,0.084,0.084,0.131,0.311,0.658,0.06,0.115,0.087,0.575,0.038,0.09,0.0,0.65,0.0,0.049,0.08,0.449,0.065,0.4095,0.055,0.2575,0.0,0.26,0.0,0.2625,0.0125,0.3495,0.03,0.15,0.0375,0.19,0.0185,0.2975,0.037
